family,avg_mean,avg_std,median_mean,min_mean,max_mean,std_mean,robust_mean_mean,iqr_mean,score_balanced_mean,avg_perf_mean,robust_perf_mean,time_s_mean,gap_mean,auc_theta_mean,acc_worst_mean,sd_theta_mean
CyResNet56-linear,0.9264196416009626,0.06508891188613312,0.9306557634226239,0.819286046511628,0.9931116279069767,0.052846212209538716,0.9299234318533073,0.08255888502969899,0.6608898794581701,0.0003267343235828306,0.0002772483575167411,9402.272093023255,0.005057457167254467,0.9214265852973402,0.9165208954625801,0.0032830375529913753
CyResNet56-log,0.9548946322124784,0.0234502938762475,0.9582504268793223,0.8851837209302326,0.9909162790697674,0.027297263201419515,0.9573415780470913,0.04013246850049176,0.7007919935987885,0.00032023986887926584,0.0002910324216400458,9763.348837209302,-0.0044371381466313834,0.952508811277903,0.9503940623673807,0.0011501112808469578
CyVGG19-linear,0.8886343458141822,0.07377974605743351,0.8878624059080454,0.7818325581395349,0.9940651162790698,0.057569472177605704,0.8879833163619326,0.07393184146280075,0.6625426599770574,0.0006319513813274341,0.0005294212786781454,4317.195348837209,-0.002863138640030528,0.880836789981908,0.8775323017667087,0.0029000336095977453
CyVGG19-log,0.8925884198125653,0.06847153243940002,0.8927996118997281,0.7886279069767442,0.9930209302325581,0.05358601854636637,0.892430977785227,0.06545462922736178,0.6687062997179913,0.0006344325429247431,0.0005322241902007801,4123.183720930233,-0.006099205971874888,0.8854654874681634,0.8815565258801277,0.0024186049692439945
ResNet56-linear,0.7060236989344709,0.17032932990921226,0.6808556134563112,0.5138162790697675,0.9932813953488372,0.15468055643905007,0.6944683058353607,0.22455398149331288,0.3664592368682798,0.00045528312955583883,0.00028371659254729676,4928.7697674418605,0.001984113246241625,0.6845334795980828,0.679468622323413,0.005079769694990765
ResNet56-log,0.7097701625650354,0.16461382675620323,0.6895876940694964,0.5183976744186046,0.9925720930232558,0.15437500947068541,0.6988724012731454,0.23231524511341373,0.37055342451231055,0.0004481505533371422,0.00028210736623826267,5429.6255813953485,0.001259391086249188,0.688649737881335,0.6836824158452981,0.004781571373478378
VGG19-linear,0.6708089807065118,0.18060388310549055,0.635095995245065,0.44259767441860465,0.9937627906976744,0.17464303538918158,0.6588852115757996,0.23964350661934963,0.3386178556545582,0.0005801322486806056,0.00031662976473749655,3315.9093023255814,0.0030873403176443614,0.6467322336793536,0.6419575222137359,0.0050275558864992945
VGG19-log,0.6706069932739875,0.17802876211346105,0.6386722888739168,0.4473093023255814,0.9933674418604651,0.17508457900641355,0.6581765208617517,0.24394135946417925,0.33508454657041675,0.0005625226480184772,0.00031541564799684795,3355.6279069767443,0.0013673775025802191,0.6465935811287623,0.641129731615284,0.00533031696833716
