family,avg_mean,avg_std,median_mean,min_mean,max_mean,std_mean,robust_mean_mean,iqr_mean,score_balanced_mean,avg_perf_mean,robust_perf_mean,time_s_mean,gap_mean,auc_theta_mean,acc_worst_mean,sd_theta_mean
CyResNet56-linear,0.9200210710448992,0.01587931175971949,0.919540340495707,0.9023384706033991,0.9429063322837835,0.010871161061955558,0.9194282699459071,0.012669465784971507,0.7434424969802385,0.000788561120318169,0.0007685580373520286,2076.2767441860465,-0.0019232892388024875,0.9186430076734715,0.9179998453652198,0.0005552745609031647
CyResNet56-log,0.9177160300020702,0.017949801034426505,0.9172007807385921,0.8940230900955642,0.947019830967243,0.014772527163524047,0.9170972177138638,0.02045292095200949,0.7458912193809345,0.0008282011143785939,0.0008005462559418973,2184.725581395349,-0.0020888505128891614,0.9162540238717375,0.9154469011124917,0.0006953609239982062
CyVGG19-linear,0.9195903199904625,0.0236193139986207,0.9187971453473028,0.8836362297225138,0.9570163324679151,0.022194214479748984,0.9194106290394711,0.03989212302792926,0.794513570010027,0.0012045344419349508,0.0011417723358001686,1600.0023255813953,-0.003780967826836727,0.9176642288811462,0.9166600439412025,0.0009165389348672952
CyVGG19-log,0.9049774837886374,0.04468163177655965,0.9045921766523324,0.8517962032075715,0.9600508203060266,0.031851952125022814,0.9048360907244399,0.05045597566243316,0.7639887592232626,0.0010841165705221692,0.0009977403814219596,1603.4372093023255,-0.007372319972788617,0.9014283075969682,0.9002500086731291,0.0011086124084844732
ResNet56-linear,0.6215485197210661,0.1919514185536036,0.585331605777186,0.44221241940956907,0.963725822870716,0.15494551651082863,0.6039361342167661,0.1786310454970321,0.41270423187011185,0.000692076321016933,0.00041843609759103785,1874.6476190476192,0.001966270143711242,0.5969171901307857,0.5923034773978367,0.004817045699401503
ResNet56-log,0.6099523346497974,0.19900189208038688,0.5635500745860857,0.4327150020736719,0.9650586283602911,0.16164090993755664,0.5904544246218107,0.18596449733453466,0.3953187374173806,0.000651714078969966,0.0003907600368078185,1906.3142857142857,-0.00011169516626278907,0.5840921545493308,0.5787001798174177,0.005668733585202983
VGG19-linear,0.5247462193020125,0.23921452995874534,0.45412721950472207,0.3291633676431776,0.9671926252686348,0.19508041785083532,0.49748614069806857,0.20379433831620378,0.3167640691404059,0.000752216307995422,0.00034555224674580256,1313.804761904762,-0.0056349469612614,0.49218134885633874,0.48726248953145274,0.005888444595217667
VGG19-log,0.520423221498508,0.24059577127005627,0.4520977958656106,0.3272291973004562,0.9652905025826641,0.19347570641087705,0.4928557388411128,0.19588532128085062,0.3162447008249632,0.0007852951744469877,0.000359597745193635,1372.6238095238095,-0.005906380828541709,0.48748873980310037,0.4823759472264036,0.005993001910797135
