family,avg_mean,avg_std,median_mean,min_mean,max_mean,std_mean,robust_mean_mean,iqr_mean,score_balanced_mean,avg_perf_mean,robust_perf_mean,time_s_mean,gap_mean,auc_theta_mean,acc_worst_mean,sd_theta_mean
CyResNet56-linear,0.8997807377688073,0.041583072614721175,0.9006066058420641,0.8400430867811964,0.9559041779447237,0.027350048951740855,0.9003546512567354,0.03988040985051149,0.7257088561901959,0.0006174973110130387,0.0005648490192455151,3444.186046511628,-0.0009681374724386868,0.8958569961580861,0.894129450381256,0.0010009984230287875
CyResNet56-log,0.887902406696282,0.045120354864770784,0.8886413500264796,0.8205509215783756,0.9516452153418402,0.03141662704214568,0.8884006672365311,0.045151498611560474,0.7066529941091398,0.0005716874212487314,0.000517777207018697,4050.844186046512,0.002377345861007661,0.8835723153041374,0.8807209621039063,0.001482227989060379
CyVGG19-linear,0.8796122224902595,0.06197277768902802,0.8805221763481444,0.8012649837043584,0.9611353550976818,0.037285172011174504,0.8797419566187292,0.04212659193691344,0.7252791589864862,0.0007419241853855777,0.0006542061645057096,2568.7,-0.0033853753163472573,0.8736102729150886,0.8704511943443785,0.001865682088191272
CyVGG19-log,0.8469182109377137,0.09119077807119216,0.8459775661068264,0.7512769522546907,0.9621849048960578,0.04847539884792246,0.845902301541284,0.051980112542450295,0.6930413896948445,0.0007438521634688836,0.0006299935493469806,2766.567441860465,-0.005473105005508547,0.838628625919165,0.8355371654670769,0.0021959965426227106
ResNet56-linear,0.58248576239226,0.23519500121797407,0.5386542443544046,0.407512566977849,0.9643079415934743,0.1579987785529289,0.5624741949811354,0.17437759685336054,0.4372162121154021,0.0007905896195232996,0.0004433243758524294,1577.079069767442,0.0014177501750526134,0.5543444875703804,0.549895981000715,0.0043840671762260175
ResNet56-log,0.5541527446399214,0.24766655027695994,0.5084432265396747,0.3804452300723637,0.9630484818354232,0.16346184087623583,0.5319416749434545,0.16960790588096836,0.3922253530766189,0.0006842500610391777,0.00036991883415632876,1634.0372093023257,-0.0019949262825779586,0.5243294067082284,0.5194049425780907,0.004874339399184044
VGG19-linear,0.5039366725962003,0.26193110571261435,0.4376265936399616,0.31145482332578395,0.9663573256734611,0.1907111180572112,0.47667167246631975,0.19007398504139375,0.3173641599860221,0.0005266775898790649,0.0002241014781572455,2237.781395348837,-0.005355804215340714,0.4700916212147901,0.4655070079725351,0.005220645532495134
VGG19-log,0.4994512202978068,0.26272454785118127,0.4319012792555852,0.3094238524001547,0.9641035555801064,0.18958767466787796,0.47172939426628635,0.18869523998100754,0.30793837534387536,0.000495254961200761,0.00021738100446568807,2128.986046511628,-0.005119458345047347,0.4651792125739093,0.4604467782103326,0.005670711783332241
