run,arch,act,avg_opt,AUC_opt,worst_opt,avg_base,AUC_base,worst_base,d_avg,d_AUC,d_worst,n_opt_tests,n_base_pairs
GTSRB-custom_dataset_GTSRB_non_rotated_cyresnet56_linearpolar.log,cyresnet56,linearpolar,0.8442348837209305,0.8381138888888889,0.79265,0.9370713001739626,0.9345433448448165,0.9273378301413019,-0.09283641645303209,-0.09642945595592756,-0.13468783014130192,43,258
GTSRB-custom_dataset_GTSRB_non_rotated_cyresnet56_logpolar.log,cyresnet56,logpolar,0.7901348837209301,0.7697291666666666,0.6805,0.9267629253884985,0.9242609316872054,0.9113389752477888,-0.13662804166756837,-0.15453176502053878,-0.23083897524778885,43,258
GTSRB-custom_dataset_GTSRB_non_rotated_cyvgg19_linearpolar.log,cyvgg19,linearpolar,0.690074418604651,0.6923027777777778,0.5727,0.9228780931700338,0.9209235993509836,0.9039230737867704,-0.23280367456538276,-0.22862082157320573,-0.3312230737867704,43,258
GTSRB-custom_dataset_GTSRB_non_rotated_cyvgg19_logpolar.log,cyvgg19,logpolar,0.6391883720930233,0.6477986111111113,0.47300000000000003,0.9155711278794469,0.9145372330441119,0.8976575925884743,-0.2763827557864237,-0.2667386219330007,-0.4246575925884743,43,258
GTSRB-custom_dataset_GTSRB_non_rotated_resnet56_linearpolar.log,resnet56,linearpolar,0.35082558139534886,0.345275,0.21165,0.8900999095118853,0.8868250621366758,0.8695618038678236,-0.5392743281165364,-0.5415500621366758,-0.6579118038678236,43,516
GTSRB-custom_dataset_GTSRB_non_rotated_resnet56_logpolar.log,resnet56,logpolar,0.44493488372093026,0.4367972222222223,0.26435,0.8776806120703886,0.8747803338210051,0.854831808676786,-0.43274572834945835,-0.4379831115987828,-0.590481808676786,43,516
GTSRB-custom_dataset_GTSRB_non_rotated_vgg19_linearpolar.log,vgg19,linearpolar,0.2989488372093023,0.3042472222222222,0.1425,0.8686383810675711,0.8669115984135579,0.8458150631688511,-0.5696895438582688,-0.5626643761913357,-0.7033150631688512,43,516
GTSRB-custom_dataset_GTSRB_non_rotated_vgg19_logpolar.log,vgg19,logpolar,0.2905488372093023,0.2964680555555556,0.13745000000000002,0.8623335985277721,0.8614446559402527,0.8402647895522696,-0.5717847613184699,-0.564976600384697,-0.7028147895522696,43,516
