run,arch,act,avg_opt,AUC_opt,worst_opt,avg_base,AUC_base,worst_base,d_avg,d_AUC,d_worst,n_opt_tests,n_base_pairs
mnist-custom_dataset_mnist_non_rotated_cyresnet56_linearpolar.log,cyresnet56,linearpolar,0.8660883720930234,0.8660263888888888,0.6942999999999999,0.9576499958858969,0.9570862147921971,0.924706615893796,-0.09156162379287358,-0.0910598259033083,-0.23040661589379607,43,258
mnist-custom_dataset_mnist_non_rotated_cyresnet56_logpolar.log,cyresnet56,logpolar,0.9207,0.9192652777777778,0.8507,0.9754881585985073,0.9750199320546039,0.9645882726511216,-0.054788158598507386,-0.05575465427682613,-0.11388827265112156,43,258
mnist-custom_dataset_mnist_non_rotated_cyvgg19_linearpolar.log,cyvgg19,linearpolar,0.7502744186046512,0.7513805555555554,0.61395,0.9485516022962825,0.9482587941263536,0.9267585023213222,-0.1982771836916314,-0.19687823857079823,-0.3128085023213222,43,258
mnist-custom_dataset_mnist_non_rotated_cyvgg19_logpolar.log,cyvgg19,logpolar,0.7819139534883721,0.7824180555555555,0.6328499999999999,0.9532725100448647,0.9530585968115338,0.9297155195579615,-0.17135855655649257,-0.17064054125597827,-0.2968655195579616,43,258
mnist-custom_dataset_mnist_non_rotated_resnet56_linearpolar.log,resnet56,linearpolar,0.6035348837209302,0.6036569444444445,0.4284,0.9328827048548995,0.9322109015146629,0.9018424111498966,-0.3293478211339693,-0.3285539570702184,-0.4734424111498966,43,516
mnist-custom_dataset_mnist_non_rotated_resnet56_logpolar.log,resnet56,logpolar,0.6066488372093023,0.6065583333333333,0.39559999999999995,0.9408235419409401,0.9402101296444705,0.9232740598226062,-0.3341747047316378,-0.33365179631113717,-0.5276740598226063,43,516
mnist-custom_dataset_mnist_non_rotated_vgg19_linearpolar.log,vgg19,linearpolar,0.5124558139534884,0.5129277777777776,0.26455,0.9209277634897403,0.9204682159324535,0.8940606984778788,-0.4084719495362519,-0.4075404381546759,-0.6295106984778789,43,516
mnist-custom_dataset_mnist_non_rotated_vgg19_logpolar.log,vgg19,logpolar,0.49474883720930224,0.49524722222222217,0.2548,0.9204722280400478,0.9200582965930046,0.8904530929212907,-0.42572339083074556,-0.42481107437078247,-0.6356530929212907,43,516
