run,arch,act,avg_opt,AUC_opt,worst_opt,avg_base,AUC_base,worst_base,d_avg,d_AUC,d_worst,n_opt_tests,n_base_pairs
GTSRB-RGB-custom_dataset_GTSRB_RGB_non_rotated_cyresnet56_linearpolar.log,cyresnet56,linearpolar,0.8718139534883721,0.8611986111111111,0.8309,0.92384045278386,0.9227735433971922,0.9188750794472221,-0.05202649929548786,-0.06157493228608113,-0.08797507944722216,43,258
GTSRB-RGB-custom_dataset_GTSRB_RGB_non_rotated_cyresnet56_logpolar.log,cyresnet56,logpolar,0.8683767441860463,0.8572166666666665,0.8219,0.9296835490464309,0.9277635866682686,0.9225015331189031,-0.061306804860384645,-0.07054692000160212,-0.10060153311890319,43,258
GTSRB-RGB-custom_dataset_GTSRB_RGB_non_rotated_cyvgg19_linearpolar.log,cyvgg19,linearpolar,0.8390046511627907,0.8348222222222224,0.7661499999999999,0.9394762967156356,0.9386278448004093,0.9329163875338543,-0.10047164555284493,-0.10380562257818693,-0.16676638753385442,43,258
GTSRB-RGB-custom_dataset_GTSRB_RGB_non_rotated_cyvgg19_logpolar.log,cyvgg19,logpolar,0.7904023255813953,0.7911597222222224,0.68845,0.9383058016130573,0.9377719939354108,0.9305896685682494,-0.14790347603166198,-0.14661227171318836,-0.24213966856824942,43,258
GTSRB-RGB-custom_dataset_GTSRB_RGB_non_rotated_resnet56_linearpolar.log,resnet56,linearpolar,0.5880813953488372,0.5823930555555556,0.3888,0.8895600770317943,0.8869714378041191,0.8694770011885763,-0.3014786816829571,-0.3045783822485635,-0.4806770011885763,43,468
GTSRB-RGB-custom_dataset_GTSRB_RGB_non_rotated_resnet56_logpolar.log,resnet56,logpolar,0.5341790697674419,0.5242930555555556,0.323,0.8928036108778694,0.890027211018889,0.8686014324853155,-0.3586245411104275,-0.36573415546333343,-0.5456014324853156,43,468
GTSRB-RGB-custom_dataset_GTSRB_RGB_non_rotated_vgg19_linearpolar.log,vgg19,linearpolar,0.3600581395348837,0.363675,0.1797,0.8827535255791392,0.8811522183310488,0.8634296474729286,-0.5226953860442556,-0.5174772183310488,-0.6837296474729286,43,468
GTSRB-RGB-custom_dataset_GTSRB_RGB_non_rotated_vgg19_logpolar.log,vgg19,logpolar,0.3345093023255814,0.33824027777777776,0.14065,0.8818935289293562,0.8805484293956529,0.8622753072778452,-0.5473842266037748,-0.5423081516178752,-0.7216253072778451,43,468
