run,arch,act,avg_opt,AUC_opt,worst_opt,avg_base,AUC_base,worst_base,d_avg,d_AUC,d_worst,n_opt_tests,n_base_pairs
LEGO_dataset_LEGO_non_rotated_cyresnet56_linearpolar.log,cyresnet56,linearpolar,0.6595139534883722,0.6379458333333333,0.5622,0.871117439166131,0.8671231721333013,0.8529472033538168,-0.21160348567775888,-0.22917733879996793,-0.29074720335381676,43,258
LEGO_dataset_LEGO_non_rotated_cyresnet56_logpolar.log,cyresnet56,logpolar,0.7278976744186046,0.7178694444444446,0.6712499999999999,0.8775246390197334,0.8756402011507616,0.8678609439857623,-0.1496269646011288,-0.15777075670631702,-0.1966109439857624,43,258
LEGO_dataset_LEGO_non_rotated_cyvgg19_linearpolar.log,cyvgg19,linearpolar,0.7890581395348838,0.7831874999999999,0.75345,0.9054838204834571,0.9053151663234291,0.9012379803860545,-0.1164256809485733,-0.1221276663234292,-0.14778798038605456,43,258
LEGO_dataset_LEGO_non_rotated_cyvgg19_logpolar.log,cyvgg19,logpolar,0.7698116279069768,0.7679958333333333,0.7546999999999999,0.9029255224346069,0.9023540219792565,0.8994633926312705,-0.13311389452763012,-0.1343581886459232,-0.14476339263127058,43,258
LEGO_dataset_LEGO_non_rotated_resnet56_linearpolar.log,resnet56,linearpolar,0.5125093023255815,0.4939111111111112,0.45185,0.8776141691702193,0.8747976814936546,0.8639139331679303,-0.36510486684463783,-0.38088657038254337,-0.41206393316793033,43,516
LEGO_dataset_LEGO_non_rotated_resnet56_logpolar.log,resnet56,logpolar,0.6089441860465116,0.5941472222222223,0.54125,0.8681486619202825,0.8660360700682984,0.8574234505703436,-0.25920447587377093,-0.27188884784607614,-0.31617345057034363,43,516
LEGO_dataset_LEGO_non_rotated_vgg19_linearpolar.log,vgg19,linearpolar,0.7063348837209303,0.701861111111111,0.66035,0.9029446486269705,0.9025246362481477,0.8965667758335818,-0.1966097649060402,-0.20066352513703667,-0.2362167758335818,43,516
LEGO_dataset_LEGO_non_rotated_vgg19_logpolar.log,vgg19,logpolar,0.5809302325581396,0.5762999999999999,0.55875,0.8983839136376383,0.8978890497672465,0.893400200897294,-0.3174536810794987,-0.32158904976724656,-0.334650200897294,43,516
