family,avg_mean,avg_std,median_mean,min_mean,max_mean,std_mean,robust_mean_mean,iqr_mean,score_balanced_mean,avg_perf_mean,robust_perf_mean,time_s_mean,gap_mean,auc_theta_mean,acc_worst_mean,sd_theta_mean
CyResNet56-linear,0.8551669652627434,0.052418946490493064,0.8557248245940107,0.8329505813953488,0.880406976744186,0.01136887346600264,0.8547425041666529,0.013668522066596207,0.5663939586857089,0.000245424463078798,0.00023739131552049758,6309.620930232558,0.004880642284780801,0.8506370575259588,0.8483544122090361,0.0015707157213391489
CyResNet56-log,0.8559452979726015,0.04101663357248699,0.8564169075836954,0.8379796511627907,0.8739680232558139,0.0082649045945908,0.8558067149178341,0.010150336400518089,0.5632551179500077,0.00021630895006445987,0.0002109053001396573,6769.758139534883,0.002716724427873086,0.8522816963051735,0.8509976202304237,0.0008709486372388502
CyVGG19-linear,0.8816462558196265,0.025191014570338576,0.8814937601158531,0.870218023255814,0.8928052325581395,0.004991241755697073,0.8816475428641126,0.006101581376472367,0.7046213523470782,0.0006967289855591158,0.0006860912938214767,2984.9627906976743,0.0013451081005979792,0.8788656830242081,0.8782541051336018,0.000336325420036787
CyVGG19-log,0.8764342881125095,0.026485099899400226,0.8764798122178209,0.8648110465116279,0.8881104651162791,0.004950332834319147,0.8764365440000199,0.0056980448693748215,0.6896185606572183,0.0006797194981683219,0.0006691964698868396,2986.4348837209304,0.001461158188354131,0.8736975385188855,0.8731076941166875,0.00031353294017858526
ResNet56-linear,0.8145586755754837,0.07354221136800956,0.8151788190007667,0.7871075581395349,0.8459593023255814,0.013748485902357601,0.8140676139509715,0.016241844395914157,0.5762399018539833,0.0008587153620536654,0.0008218530804815849,2104.9372093023258,0.005068817588243254,0.8077811007415255,0.8064704965607309,0.0007840773954211666
ResNet56-log,0.7967596650746496,0.07335927538990923,0.7956205610039185,0.7711191860465116,0.8284302325581395,0.013124752406996865,0.7960014368037831,0.015190719346060894,0.5368581037859976,0.0008703799281928495,0.0008355156062465017,2066.8837209302324,0.0031572264965423666,0.7893329112146694,0.7878613264400328,0.0010365330827270091
VGG19-linear,0.8503383824097978,0.0455257020915155,0.8508224821447932,0.8281395348837209,0.8728197674418605,0.010537131800124402,0.8504294312795455,0.014882958006141134,0.6498484568530439,0.0008025655550743318,0.0007765617938862202,2667.8325581395347,0.0015460102972771864,0.8451215741110346,0.843812981377271,0.0005664646539987385
VGG19-log,0.8399492615928105,0.04686544502216356,0.8401357804017687,0.8185901162790697,0.8607848837209302,0.009669283602918605,0.8400068581992481,0.012131856394574403,0.6316110928657572,0.0008373231495920494,0.0008105426277708219,2837.2162790697676,0.0013755703819048428,0.8343480516935885,0.8333099914348007,0.00045603105338531697
